layer,best_test_model,best_test_val_auc,best_test_human_test_auc,best_test_GCG,best_test_PAIR,best_test_PAP,best_test_GPTFuzz,best_test_PEZ,best_test_WJB,best_transfer_model,best_transfer_val_auc,best_transfer_human_test_auc,best_transfer_GCG,best_transfer_PAIR,best_transfer_PAP,best_transfer_GPTFuzz,best_transfer_PEZ,best_transfer_WJB
20,histgb_300_lr0.03_leaf31,0.9730452477208131,0.9009640804078479,0.7099422150882825,0.7513757437070937,0.6188743412384716,0.6274075224560586,0.797100108932462,,logreg_en_C0.3_l1r0.7,0.9652233072378175,0.8340649378198398,0.8041444622792936,0.8092130434782608,0.5929656105895915,0.7078928839533019,0.8313272331154684,
21,histgb_200_lr0.04_leaf15,0.9724203055419605,0.8870568442862965,0.6993258426966292,0.7488898550724638,0.6150501919672267,0.6341285496104165,0.7981162309368193,,logreg_l2_C0.3_bal,0.9678015216838074,0.8223088306808723,0.8056918138041733,0.816517315026697,0.6161403522315547,0.6845776707825322,0.8353650326797387,
22,extratrees_300_5,0.9744690351829419,0.8831322731309633,0.6697078651685393,0.7386720061022121,0.6044353693181818,0.6977738085993113,0.8160908496732024,,logreg_l2_C0.3_bal,0.9694802482751754,0.8299823179619179,0.781142857142857,0.8054199847444699,0.6146098639245717,0.7152380212782481,0.8426928104575162,
23,extratrees_300_2,0.9764509812196509,0.8924614280244068,0.6436147672552167,0.7467636918382914,0.627012748064888,0.6736724392327408,0.8074809368191721,,logreg_en_C0.3_l1r0.3,0.968809832890996,0.8340375502253081,0.7602118780096309,0.8008934401220443,0.585655454854249,0.7185431389298752,0.8390541394335511,
24,extratrees_300_2,0.9768575693468463,0.887507435946987,0.6257624398073837,0.744457055682685,0.6327310297266141,0.6730695555382983,0.8094321350762528,,logreg_l2_C0.1_raw,0.9672962055137871,0.8336708599510323,0.7598394863563404,0.8036443935926774,0.5797012670866271,0.7246237477673373,0.8413140522875815,
25,extratrees_300_2,0.9775260765850906,0.8869386901145251,0.6692102728731943,0.7448872616323416,0.6111521893527668,0.6757443503921721,0.8132472222222223,,logreg_l2_C0.1_raw,0.9671893476431621,0.8497756336942204,0.7655698234349919,0.8083909992372235,0.5981923943922925,0.72609096321607,0.8527501089324617,
26,histgb_200_lr0.04_leaf15,0.9768361050192739,0.8754898805845117,0.7115601926163724,0.7687261632341724,0.5744417510704876,0.596955812689291,0.8214831154684099,,logreg_en_C0.1_l1r0.3,0.9650364053177135,0.8560184631876308,0.7958234349919744,0.8208080091533182,0.6083198493083003,0.6667683984364889,0.8469258714596948,
27,histgb_200_lr0.04_leaf15,0.9765663932792102,0.8694843397833355,0.7403691813804174,0.7699432494279176,0.5763444139081028,0.612556237218814,0.8122685185185184,,logreg_l2_C0.1_bal,0.9679962280655329,0.860527065853868,0.798398073836276,0.8265392829900838,0.6102085649291831,0.6611063653542493,0.8316677559912854,
28,histgb_300_lr0.03_leaf31,0.976382972122217,0.8590869024056598,0.7348121990369181,0.7833319603356217,0.5897672590373847,0.5965136807227357,0.8207238562091503,0.755043282051282,logreg_l2_C0.1_bal,0.9670689879892395,0.851469386427631,0.8183531300160513,0.82496704805492,0.5998943665596179,0.6388910460510988,0.8389821350762527,0.75214707191995
29,histgb_200_lr0.04_leaf15,0.9769639288601409,0.8832431081578298,0.7492520064205458,0.7831369946605645,0.5630854614418642,0.6599751494913413,0.8293615468409585,,logreg_en_C0.1_l1r0.3,0.96361878695468,0.8571354344422893,0.8130786516853932,0.831299313501144,0.5955942620841568,0.6714943956925785,0.837429357298475,
30,histgb_200_lr0.04_leaf15,0.9756570320950027,0.8726052923600188,0.7306709470304976,0.7769627765064836,0.56609375,0.6266262845900961,0.8189823529411764,,logreg_en_C0.1_l1r0.3,0.9637863442190412,0.8442619811712581,0.808581059390048,0.815768344774981,0.5809597203351449,0.7002013926639227,0.8517994553376905,
31,histgb_300_lr0.03_leaf31,0.9763529390047543,0.8524280269418508,0.6013515248796147,0.7470840579710145,0.5772069540513834,0.5853413062048614,0.7692391067538127,,logreg_l1_C0.3_bal,0.9665348027968907,0.8410351884827071,0.7060192616372392,0.7549339435545386,0.5712873126646903,0.6579648468846264,0.8407876906318085,
